Timestamp,Name,Price,Change_24H,Market_Cap
2026-06-10 14:28:34,Bitcoin,"$61,240.27",-2.67%,$1.23T
2026-06-10 14:28:34,Ethereum,"$1,618.99",-3.31%,$195.87B
2026-06-10 14:28:34,Tether,$0.9991,0.02%,$186.79B
2026-06-10 14:28:34,BNB,$584.49,-3.04%,$78.78B
2026-06-10 14:28:34,USDC,$0.9996,0.00%,$74.99B
2026-06-10 14:28:34,XRP,$1.10,-5.30%,$68.65B
2026-06-10 14:28:34,Solana,$63.54,-4.70%,$36.82B
2026-06-10 14:28:34,TRON,$0.3216,-0.56%,$30.5B
2026-06-10 14:28:34,Hyperliquid,$55.40,-11.31%,$14.05B
2026-06-10 14:28:34,Dogecoin,$0.08330,-3.09%,$12.88B
2026-06-10 14:29:22,Bitcoin,"$61,227.13",-2.59%,$1.23T
2026-06-10 14:29:22,Ethereum,"$1,620.48",-3.32%,$195.42B
2026-06-10 14:29:22,Tether,$0.9993,0.01%,$186.82B
2026-06-10 14:29:22,BNB,$584.10,-3.04%,$78.73B
2026-06-10 14:29:22,USDC,$0.9997,0.00%,$75B
2026-06-10 14:29:22,XRP,$1.10,-5.29%,$68.62B
2026-06-10 14:29:22,Solana,$63.44,-4.80%,$36.76B
2026-06-10 14:29:22,TRON,$0.3216,-0.55%,$30.5B
2026-06-10 14:29:22,Hyperliquid,$55.45,-11.47%,$14.07B
2026-06-10 14:29:22,Dogecoin,$0.08325,-3.14%,$12.87B
2026-06-11 09:17:00,Bitcoin,"$62,303.27",1.31%,$1.25T
2026-06-11 09:17:00,Ethereum,"$1,643.81",0.77%,$198.64B
2026-06-11 09:17:00,Tether,$0.9988,-0.04%,$186.72B
2026-06-11 09:17:00,BNB,$592.93,0.92%,$79.92B
2026-06-11 09:17:00,USDC,$0.9998,0.01%,$74.99B
2026-06-11 09:17:00,XRP,$1.10,-0.91%,$68.87B
2026-06-11 09:17:00,Solana,$64.68,0.18%,$37.5B
2026-06-11 09:17:00,TRON,$0.3209,-0.24%,$30.43B
2026-06-11 09:17:00,Hyperliquid,$54.33,-4.41%,$13.78B
2026-06-11 09:17:00,Dogecoin,$0.08428,0.34%,$13.03B
2026-06-14 09:57:27,Bitcoin,"$64,482.64",1.54%,$1.29T
2026-06-14 09:57:27,Ethereum,"$1,680.75",0.98%,$202.77B
2026-06-14 09:57:27,Tether,$0.9995,0.01%,$186.48B
2026-06-14 09:57:27,BNB,$609.34,1.55%,$82.13B
2026-06-14 09:57:27,USDC,$0.9997,0.00%,$74.91B
2026-06-14 09:57:27,XRP,$1.15,1.67%,$71.49B
2026-06-14 09:57:27,Solana,$68.84,3.19%,$39.92B
2026-06-14 09:57:27,TRON,$0.3155,0.07%,$29.92B
2026-06-14 09:57:27,Hyperliquid,$60.42,3.45%,$15.32B
2026-06-14 09:57:27,Dogecoin,$0.08787,2.07%,$13.59B
2026-06-14 09:57:27,UNUS SED LEO,$9.74,1.46%,$8.97B
2026-06-14 09:57:27,Zcash,$421.73,2.21%,$7.05B
2026-06-14 09:57:27,Monero,$342.76,-1.56%,$6.43B
2026-06-14 09:57:27,Cardano,$0.1727,1.66%,$6.28B
2026-06-14 09:57:27,Stellar,$0.1858,0.78%,$6.27B
2026-06-14 11:50:08,Bitcoin,"$64,436.96",1.40%,$1.29T
2026-06-14 11:50:08,Ethereum,"$1,680.60",1.01%,$202.74B
2026-06-14 11:50:08,Tether,$0.9994,0.00%,$186.47B
2026-06-14 11:50:08,BNB,$611.19,1.81%,$82.38B
2026-06-14 11:50:08,USDC,$0.9998,0.01%,$74.86B
2026-06-14 11:50:08,XRP,$1.15,1.58%,$71.37B
2026-06-14 11:50:08,Solana,$68.35,2.44%,$39.63B
2026-06-14 11:50:08,TRON,$0.3155,0.06%,$29.93B
2026-06-14 11:50:08,Hyperliquid,$60.09,3.37%,$15.24B
2026-06-14 11:50:08,Dogecoin,$0.08769,1.77%,$14.94B
2026-06-18 18:42:02,Bitcoin,"$64,261.80",-1.06%,$1.28T
2026-06-18 18:42:02,Ethereum,"$1,747.04",-0.55%,$211.04B
2026-06-18 18:42:02,Tether,$0.9988,-0.01%,$186.26B
2026-06-18 18:42:02,BNB,$590.83,-2.90%,$79.63B
2026-06-18 18:42:02,USDC,$0.9996,0.00%,$74.65B
2026-06-18 18:42:02,XRP,$1.16,-2.32%,$72.48B
2026-06-18 18:42:02,Solana,$71.46,-1.06%,$41.46B
2026-06-18 18:42:02,TRON,$0.3198,-0.07%,$30.33B
2026-06-18 18:42:02,Hyperliquid,$71.69,0.49%,$18.16B
2026-06-18 18:42:02,Dogecoin,$0.08471,-1.64%,$13.1B
